body_site_a,body_site_b,k,mean_angle_degrees,max_angle_degrees,mean_cosine
1,10,5,3.2853481824173487,8.830365085043884,0.996760970934868
1,11,5,4.452648365670941,11.447037694704433,0.9945670328653288
1,12,5,9.676596721671327,22.643323627293096,0.9720195211843257
1,2,5,8.211101913004207,29.41541896058105,0.9722262926966725
1,3,5,10.86129038048471,38.47264535482109,0.9523521863109163
1,4,5,5.907067662283465,20.65473035052691,0.9861855061124885
1,5,5,8.040226220857136,26.018182806317345,0.9774017247252166
1,6,5,6.5993603240959136,25.013137460137987,0.9803601948925877
1,7,5,2.7308649358174977,6.589098517012303,0.9979828492048389
1,8,5,7.631754406173992,25.08021917718488,0.97859433324853
1,9,5,6.331501980388692,21.29182050695885,0.9852369617940606
10,11,5,4.308467038209873,10.110746590988532,0.9954108365257417
10,12,5,9.561990010491519,26.562335669740825,0.9718181499082037
10,2,5,8.04475479503573,30.770188727343253,0.9705355960786157
10,3,5,10.355072970234755,40.018911905340616,0.9511415005080988
10,4,5,6.144981196128134,19.692840608158026,0.9867149889777463
10,5,5,7.308558707507203,22.749637610833883,0.9820563477286555
10,6,5,6.690689956310166,23.760437442151545,0.9815817491794965
10,7,5,3.5846273340298884,8.77447890536784,0.9964774891387862
10,8,5,7.169744618963833,25.085303510662307,0.9793223068025109
10,9,5,6.518917733401969,20.415861760671817,0.9853272844505112
11,12,5,6.449345984815085,18.346490855201882,0.9866270796284751
11,2,5,7.991820446538483,29.701924167493267,0.972668310957944
11,3,5,10.717946681094759,39.89989791959505,0.9512542802410465
11,4,5,6.288604531043615,17.898961588841996,0.9881469095653713
11,5,5,8.310523671115158,21.18867490277753,0.9806518537610962
11,6,5,7.584499369155236,22.845479271002283,0.9816298223896016
11,7,5,4.499568573284156,8.307136119375508,0.9954191343595742
11,8,5,7.713630733184611,23.217188503947327,0.9809855051368899
11,9,5,6.895134105672833,21.80295830484766,0.9837899380343835
12,2,5,10.541621415923677,32.20115350825641,0.9617716145972783
12,3,5,12.839136931895197,42.01048288265529,0.9392198595989866
12,4,5,9.238843600639823,22.56582239639376,0.9743259983362078
12,5,5,11.428967761131236,28.902665495873876,0.9601913884840197
12,6,5,10.422832439518272,26.011960268584716,0.9669023850040634
12,7,5,9.460968921335681,23.118247786370898,0.9748046378564104
12,8,5,9.834241948805248,28.23885173228006,0.9677684763042214
12,9,5,10.752452978669819,27.490249482601868,0.9647838565650874
2,3,5,4.48762425550165,11.510734789760322,0.9938720704884073
2,4,5,4.545933778712635,14.260060171441058,0.9926735065054505
2,5,5,6.843915546956765,19.849566449650023,0.9850248569278195
2,6,5,3.7542028786209998,12.774079529027887,0.9945648634115483
2,7,5,8.71622671508025,29.808270202664982,0.971096336150773
2,8,5,4.637786650856151,12.359941623421097,0.9940710390760563
2,9,5,4.625319809827091,12.89888201115221,0.9935493329083418
3,4,5,7.83093495841545,24.417201185339735,0.9783140843291103
3,5,5,9.091629424871304,28.7294946786959,0.9709298231637836
3,6,5,7.187598573856965,21.647049319809394,0.9825993262596008
3,7,5,11.720450318366677,39.28880101451413,0.9490945141574464
3,8,5,6.067799023910648,20.40838369517819,0.9861987333173499
3,9,5,7.722832733183937,21.826086912582753,0.9812964790301895
4,5,5,4.692581857758427,9.820425580540627,0.9946206258566008
4,6,5,2.1698870743336682,5.523927114140608,0.998724664944581
4,7,5,5.9920010582097945,19.47657003685633,0.9871724150330689
4,8,5,4.370949525206855,9.056365122129302,0.9952372708247108
4,9,5,3.3887951897481585,7.979603170451252,0.9972008751403425
5,6,5,4.544659278835987,9.224387973152474,0.9947232276347642
5,7,5,8.267969747254284,24.102257376258784,0.9791535741764573
5,8,5,5.760503119504699,15.036457429200869,0.990304883949556
5,9,5,5.12033276298813,12.396832420626376,0.9928235326638486
6,7,5,6.854321136697632,24.066366510005317,0.9813180134393342
6,8,5,3.7893616568502666,10.027042216785798,0.9959708278679562
6,9,5,3.0502986596023227,8.99998818908601,0.9971271122458735
7,8,5,8.220592768380339,24.485678450531204,0.9774979489385791
7,9,5,7.040065374907556,21.502468399612724,0.9839695045373131
8,9,5,4.418562985903347,10.630694081245275,0.9946380148026929
