component,descriptor,sites,median_correlation,median_absolute_correlation,p2_5_absolute_correlation,p50_absolute_correlation,p97_5_absolute_correlation,p99_absolute_correlation,same_direction_site_fraction
1,blue_red_contrast_450_650,12,-0.8174987532471893,0.8174987532471893,0.4137112327104284,0.8174987532471893,0.9180506151269057,0.9212264111531135,1.0
1,broadband_mean_reflectance,12,0.9989197744903342,0.9989197744903342,0.9923170686416485,0.9989197744903342,0.9997602647699566,0.999814110775696,1.0
1,green_band_depth_560_vs_500_650,12,-0.6498166691078762,0.6498166691078762,0.4705704531757189,0.6498166691078762,0.8385960239130823,0.8465014486802372,1.0
1,hemoglobin_log_proxy,12,0.08028819845573829,0.16546611784395948,0.05810660961511397,0.16546611784395948,0.46243556632125665,0.4636399505212102,0.6666666666666666
1,hemoglobin_proxy_540_580_vs_600,12,-0.8268957104306651,0.8268957104306651,0.6037758136546302,0.8268957104306651,0.8967764417825261,0.898170474348369,1.0
1,linear_slope_per_nm,12,0.825998110438242,0.825998110438242,0.46470165519812234,0.825998110438242,0.9293104235995904,0.934681199449197,1.0
1,log_red_green_ratio_650_560,12,-0.3831841638333908,0.4711601677827847,0.084847883493688,0.4711601677827847,0.6555428981679277,0.656418664039762,0.8333333333333334
1,quadratic_curvature,12,-0.09485764676836592,0.3446070041912611,0.02961892902037441,0.3446070041912611,0.6648974622441506,0.6709724408828199,0.75
1,red_green_contrast_650_560,12,0.7404303188913692,0.7404303188913692,0.3870686087236237,0.7404303188913692,0.8696942984624155,0.8719956390097792,1.0
1,visible_span_700_450,12,0.6678311232519235,0.6678311232519235,0.14713675072486518,0.6678311232519235,0.8857400417042268,0.8976380071188467,1.0
2,blue_red_contrast_450_650,12,-0.5692942499893408,0.5692942499893408,0.3859336902831821,0.5692942499893408,0.8889124484746467,0.9206623754952722,0.8333333333333334
2,broadband_mean_reflectance,12,-0.03965380264312844,0.045438556362245704,0.01960279490894786,0.045438556362245704,0.1194049354214105,0.13032845409258148,0.8333333333333334
2,green_band_depth_560_vs_500_650,12,-0.45126202384432357,0.5013988139547988,0.33838842124819307,0.5013988139547988,0.6878687782527624,0.6911106654717613,0.8333333333333334
2,hemoglobin_log_proxy,12,-0.7120059968556769,0.766397161487811,0.6049097950042264,0.766397161487811,0.8395724736240804,0.8402021329390275,0.8333333333333334
2,hemoglobin_proxy_540_580_vs_600,12,-0.41549123092627965,0.4378585403528727,0.3168563312471501,0.4378585403528727,0.5991843253839387,0.6003242076334642,0.8333333333333334
2,linear_slope_per_nm,12,0.5486833796476323,0.5486833796476323,0.34946332767177735,0.5486833796476323,0.8603727386648102,0.8968945056260874,0.8333333333333334
2,log_red_green_ratio_650_560,12,0.6641635804128676,0.7993486872051465,0.5421031328091562,0.7993486872051465,0.8898640526700298,0.8920055710507466,0.8333333333333334
2,quadratic_curvature,12,0.712540135710483,0.7791032573311703,0.5190858026495128,0.7791032573311703,0.8868623200203963,0.8883434729870249,0.8333333333333334
2,red_green_contrast_650_560,12,0.6120821782213806,0.6401367665077622,0.4669867994134717,0.6401367665077622,0.7941952072681413,0.8022579670593604,0.8333333333333334
2,visible_span_700_450,12,0.70167412592656,0.70167412592656,0.4358330024820806,0.70167412592656,0.9557002148977319,0.971960310080232,0.8333333333333334
3,blue_red_contrast_450_650,12,-0.06347147836077838,0.07439288479935112,0.025130415505842132,0.07439288479935112,0.15061241011284732,0.15653491613623033,0.9166666666666666
3,broadband_mean_reflectance,12,-0.0038089096609837114,0.005280903840032189,0.00024049905081279847,0.005280903840032189,0.010513965215108964,0.01058996601996019,0.8333333333333334
3,green_band_depth_560_vs_500_650,12,0.4606284868015983,0.4606284868015983,0.26898029993371303,0.4606284868015983,0.7163146370798184,0.7344958027802436,0.9166666666666666
3,hemoglobin_log_proxy,12,0.4565244671979399,0.4565244671979399,0.2469102384289472,0.4565244671979399,0.5696397608484848,0.5712695449298765,0.9166666666666666
3,hemoglobin_proxy_540_580_vs_600,12,0.27363931582768397,0.27363931582768397,0.09191039098555578,0.27363931582768397,0.3848329652692698,0.38648904520129884,0.9166666666666666
3,linear_slope_per_nm,12,0.11398973709842664,0.11398973709842664,0.06419055895727621,0.11398973709842664,0.2210253969783501,0.22718225010497128,0.9166666666666666
3,log_red_green_ratio_650_560,12,-0.406175388209957,0.406175388209957,0.22230590046351442,0.406175388209957,0.5284425588610479,0.5351706587965407,0.9166666666666666
3,quadratic_curvature,12,-0.4119039001475896,0.4119039001475896,0.13382264237435043,0.4119039001475896,0.5215504416822817,0.5253524415646218,0.9166666666666666
3,red_green_contrast_650_560,12,-0.24165932967485407,0.24165932967485407,0.11159929245862858,0.24165932967485407,0.44855389419248815,0.46890328122351393,0.9166666666666666
3,visible_span_700_450,12,0.12860686385006864,0.12860686385006864,0.007402784130412243,0.12860686385006864,0.25495361300358294,0.2593556404247767,0.9166666666666666
