acquisition_order,unique_review_order,canonical_key,title,doi,claim_ids_json,candidate_count,acquisition_state,accepted_route,accepted_requested_url,accepted_final_url,detected_format,word_count,local_source_path,local_text_path,source_sha256,validation_reason,validation_metadata_path
1,2,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",10.1046/j.0022-202x.2001.01577.x,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",8,ACQUIRED_AND_IDENTITY_VALIDATED,OPENALEX_LOCATION_HTML,https://pubmed.ncbi.nlm.nih.gov/11886508,https://pubmed.ncbi.nlm.nih.gov/11886508/,HTML,1116,analysis/prior_art/ingestion/scientific_sources/paper-002/source.html,analysis/prior_art/ingestion/scientific_sources/paper-002/source.txt,a7d6f3aabbdd00d245091f2c2cc4dad8744f22586b3bb52263954dd2e664ed3e,HTML scientific full text validated,analysis/prior_art/ingestion/scientific_sources/paper-002/alternate_source_validation.json
2,9,doi:10.1364/oe.425401,Optimized light source spectral power distribution for RGB camera based spectral reflectance recovery,10.1364/oe.425401,"[""TC-NOV-002"",""TC-NOV-003""]",7,UNRESOLVED_AFTER_ALTERNATE_ROUTES,,,,,0,,,,,analysis/prior_art/ingestion/scientific_sources/paper-009/alternate_source_validation.json
5,11,doi:10.1111/jdv.17076,"Hyperspectral measurement of skin reflectance detects differences in the visible and near‐infrared regions according to race, gender and body site",10.1111/jdv.17076,"[""TC-NOV-002"",""TC-NOV-005""]",12,ACQUIRED_AND_IDENTITY_VALIDATED,OPENALEX_BEST_HTML,https://www.ncbi.nlm.nih.gov/pmc/articles/8078188,https://pmc.ncbi.nlm.nih.gov/articles/PMC8078188/,HTML,1962,analysis/prior_art/ingestion/scientific_sources/paper-011/source.html,analysis/prior_art/ingestion/scientific_sources/paper-011/source.txt,5f80d0fa3643c73d7abfb7ac8cde1152b0c5afa6b0ded63515ddb4232d099ea7,HTML scientific full text validated,analysis/prior_art/ingestion/scientific_sources/paper-011/alternate_source_validation.json
6,12,doi:10.1109/cvprw50498.2020.00239,Adaptive Weighted Attention Network with Camera Spectral Sensitivity Prior for Spectral Reconstruction from RGB Images,10.1109/cvprw50498.2020.00239,"[""TC-NOV-002"",""TC-NOV-003""]",5,UNRESOLVED_AFTER_ALTERNATE_ROUTES,,,,,0,,,,,analysis/prior_art/ingestion/scientific_sources/paper-012/alternate_source_validation.json
7,13,doi:10.1093/ced/llaf126,Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study,10.1093/ced/llaf126,"[""TC-NOV-004"",""TC-NOV-006""]",8,ACQUIRED_AND_IDENTITY_VALIDATED,OPENALEX_LOCATION_HTML,https://pubmed.ncbi.nlm.nih.gov/40080693,https://pubmed.ncbi.nlm.nih.gov/40080693/,HTML,1334,analysis/prior_art/ingestion/scientific_sources/paper-013/source.html,analysis/prior_art/ingestion/scientific_sources/paper-013/source.txt,252df7414956c484dcb2e98b3ff98364e387d11b84aa0f0f0e7d51e3df3eda7f,HTML scientific full text validated,analysis/prior_art/ingestion/scientific_sources/paper-013/alternate_source_validation.json
8,3,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,10.1002/jbio.202400118,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",7,ACQUIRED_AND_IDENTITY_VALIDATED,OPENALEX_LOCATION_HTML,https://pubmed.ncbi.nlm.nih.gov/39315641,https://pubmed.ncbi.nlm.nih.gov/39315641/,HTML,1361,analysis/prior_art/ingestion/scientific_sources/paper-003/source.html,analysis/prior_art/ingestion/scientific_sources/paper-003/source.txt,36f8376aae25e8276ad98adf41c74684ee66ae48f274af75903209a744740c57,HTML scientific full text validated,analysis/prior_art/ingestion/scientific_sources/paper-003/alternate_source_validation.json
9,14,doi:10.1117/12.3098393,Optimal wavelength selection for laparoscopic multispectral imaging to visualize tissue oxygenation,10.1117/12.3098393,"[""TC-NOV-002"",""TC-NOV-003""]",5,UNRESOLVED_AFTER_ALTERNATE_ROUTES,,,,,0,,,,,analysis/prior_art/ingestion/scientific_sources/paper-014/alternate_source_validation.json
10,15,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,Effect of Capture Illumination on Preferred White Point for Camera Automatic White Balance,10.2352/issn.2470-1173.2016.13.iqsp-219,"[""TC-NOV-003"",""TC-NOV-006""]",5,UNRESOLVED_AFTER_ALTERNATE_ROUTES,,,,,0,,,,,analysis/prior_art/ingestion/scientific_sources/paper-015/alternate_source_validation.json
12,17,doi:10.3390/app15158321,Evaluating Skin Tone Fairness in Convolutional Neural Networks for the Classification of Diabetic Foot Ulcers,10.3390/app15158321,"[""TC-NOV-004"",""TC-NOV-006""]",7,UNRESOLVED_AFTER_ALTERNATE_ROUTES,,,,,0,,,,,analysis/prior_art/ingestion/scientific_sources/paper-017/alternate_source_validation.json
13,4,doi:10.1007/s10043-015-0177-3,Evaluation of light scattering properties and chromophore concentrations in skin tissue based on diffuse reflectance signals at isosbestic wavelengths of hemoglobin,10.1007/s10043-015-0177-3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",7,ACQUIRED_AND_IDENTITY_VALIDATED,OPENALEX_LOCATION_HTML,https://doi.org/10.1007/s10043-015-0177-3,https://link.springer.com/article/10.1007/s10043-015-0177-3?error=cookies_not_supported&code=55e373f6-e06c-45c9-9980-cf96f1a41094,HTML,2078,analysis/prior_art/ingestion/scientific_sources/paper-004/source.html,analysis/prior_art/ingestion/scientific_sources/paper-004/source.txt,402d294c18192a850ca5a48e535a251e355243b9e0acb62ea7093be9ed54a0a3,HTML scientific full text validated,analysis/prior_art/ingestion/scientific_sources/paper-004/alternate_source_validation.json
15,5,doi:10.1007/s10043-010-0040-5,Monte Carlo simulation of spectral reflectance using a multilayered skin tissue model,10.1007/s10043-010-0040-5,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",7,ACQUIRED_AND_IDENTITY_VALIDATED,OPENALEX_LOCATION_HTML,https://doi.org/10.1007/s10043-010-0040-5,https://link.springer.com/article/10.1007/s10043-010-0040-5?error=cookies_not_supported&code=1c68a689-a0f9-43b9-ad61-31f9f03e8398,HTML,1479,analysis/prior_art/ingestion/scientific_sources/paper-005/source.html,analysis/prior_art/ingestion/scientific_sources/paper-005/source.txt,8f1e95b76ef72d8b41891f8c868c9a9424af68cd6d704d667c91be9822c54923,HTML scientific full text validated,analysis/prior_art/ingestion/scientific_sources/paper-005/alternate_source_validation.json
