paper_id,title,year,domain,established,limitations,truecolor_use,preempted_claim,admissible_extension
1,Region-Specific Calibration Achieves Excellent Inter-Device Reliability for Smartphone Dermatology,2025,smartphone colorimetry / regional calibration,Matched tri-device imaging; global and regional affine CCM; anatomical region affects transfer.,DSLR is not spectral truth; processed sRGB/JPEG; illumination/device effects confounded; ICC can overstate agreement; no spectrum recovery.,real-device calibration baseline; anatomical-site control,generic novelty of region-specific smartphone skin-color calibration,Explain residual error via measured spectral observability; quantify capture-control boundary.
2,Limitations of Data-Driven Spectral Reconstruction: An Optics-Aware Analysis,2024,RGB-to-HSI identifiability / optics,RGB-to-spectrum inversion is non-unique; benchmark shortcuts and cross-dataset collapse; wavelength-dependent PSF can encode extra information.,Generic/natural-scene metamers may be physiologically implausible; information gain from aberration not fully quantified.,operator/null-space baseline; adversarial reconstruction benchmark,generic claim that RGB spectral reconstruction is ill-posed; chromatic aberration as side channel,Enumerate real-skin collisions; constrain metamers to measured skin manifold; quantify added rank and posterior contraction.
3,Hyper-Skin: A Hyperspectral Dataset for Reconstructing Facial Skin-Spectra from RGB Images,2023,skin HSI reconstruction benchmark,Facial skin hyperspectral dataset; paired synthetic RGB; RGB-to-VIS and RGB+NIR-to-NIR benchmarks.,Synthetic RGB does not reproduce full consumer optical/RAW/ISP chain; controlled cohort; prior dependence.,external spectral replication; added-measurement validation,skin-specific HSI dataset and synthetic RGB-to-spectrum benchmark novelty,Device/illuminant holdout; evidence-versus-prior decomposition; real RAW paired acquisition.
4,CleanPatrick: A Benchmark for Image Data Cleaning,2025,data quality / dermatology,"Large-scale audit of off-topic images, near duplicates, and label errors in Fitzpatrick17k.",Cleaning labels are judgment-dependent and may be tone/disease dependent; no causal performance decomposition.,mandatory data-quality control,novelty of discovering Fitzpatrick17k quality defects,Quantify disparity change under each cleaning layer and differential removal by tone/disease.
5,Diverse Dermatology Images: A Benchmark for Dermatology AI,2021,clinical disparity benchmark,Pathology-confirmed diverse clinical-image benchmark; performance degradation on darker skin and uncommon disease.,"Does not identify optical cause; tone labels are not spectral truth; disease mix, contrast, quality, and domain can confound.",clinical discovery dataset,novelty of demonstrating a dermatology performance gap,Joint physics/contrast/data-quality decomposition; independent replication in DDI-2.
6,Evaluating Deep Neural Networks with the Fitzpatrick17k Dataset,2021,large-scale dermatology tone audit,Large atlas-derived dataset with Fitzpatrick labels and subgroup performance benchmarking.,"Fitzpatrick is phenotype, not continuous measured color; provenance, labels, and duplicates are problematic.",scale benchmark after cleaning,large-scale Fitzpatrick-labeled dermatology evaluation,Raw-versus-cleaned disparity decomposition; avoid physical claims.
7,Monk Skin Tone Examples / MST-E,2023,capture robustness / perceptual tone,Image/video examples across Monk Skin Tone categories and capture conditions.,MST is perceptual/ordinal; repeated media create leakage; small subject count.,within-subject capture and temporal robustness,novelty of image-based MST evaluation,LOSO capture instability analysis tied to ISSA-derived recoverability.
8,Smartphone Tristimulus Colorimetry for Skin-Tone Analysis,2024,controlled smartphone colorimetry,"Under controlled geometry, illumination, exposure, and calibration, smartphone tristimulus estimates can approach colorimeter agreement.",Small cohort; controlled protocol; does not establish spectral or chromophore recovery.,positive control for controlled acquisition,categorical claim that smartphones cannot measure skin color accurately,"Quantify minimum control required by target, signal level, device, and appearance."
9,Standardized Spectral and Radiometric Calibration of Consumer Cameras,2019,camera metrology,Practical consumer-camera spectral and radiometric calibration framework.,Calibration does not prove processed RGB contains sufficient information; device-specific.,paired-acquisition and radiometric baseline,novelty of proposing camera calibration,Propagate calibration uncertainty into recoverability and establish minimum sufficient calibration.
10,Spectral Sensitivity Estimation Without a Camera,2023,camera sensitivity estimation,Camera spectral sensitivities can be estimated from metadata and learned priors.,Estimated curves are prior-dependent and not equivalent to direct monochromator measurement.,camera-operator uncertainty family,novelty of estimating camera sensitivity from public metadata,Measured-versus-estimated operator sensitivity and uncertainty propagation.
11,Polarisation Optics for Biomedical and Clinical Applications: A Review,2021,polarization sensing,Polarization can suppress surface reflection and modify depth/structural sensitivity.,General biomedical review; geometry/motion burden; not proven optimal for this target.,candidate added-measurement baseline,novelty of adding polarization to skin imaging,"Compare information gain against NIR, multi-flash, RAW, reference patch, and repeats under equal cost."
12,A Practical Model for Skin Reflectance and Biophysical Parameter Estimation,2022,skin forward physics / inversion,Layered skin reflectance modeling and inversion for biophysical parameters.,"Fit quality does not imply unique parameter recovery; results depend on priors, ranges, geometry, and calibration.",forward-model and prior baseline,novelty of layered skin optical modeling or generic biophysical inversion,Fit across ISSA strata; model discrepancy; structural/practical identifiability; separate fit from truth.
13,Computational Spectral Reconstruction Methods from RGB to Hyperspectral Imaging: A Review,2021,spectral reconstruction survey,"Taxonomy of prior-based, sparse, regression, and deep RGB-to-HSI reconstruction methods.",Does not resolve skin-specific observability or measurement-versus-prior attribution.,method taxonomy,architecture-family novelty without solving a registered physical gap,No architecture novelty claim unless it closes a measured physical/inferential gap.
14,A Reference Data Set for Human Skin Reflectance,2017,skin reflectance metrology,Traceable human-skin reflectance reference data and measurement conditions.,Smaller scope; no arbitrary consumer-image pairs.,external spectral/metrology validation,novelty of publishing a basic skin-reflectance reference,Cross-dataset spectral geometry and model-discrepancy replication.
15,Hyperspectral Imaging Database of Human Facial Skin,2025,spatial facial hyperspectral metrology,29 faces; 400–720 nm at 10 nm; nine facial regions; comparison with TSR and contact spectrophotometer; local spatial variation.,Small cohort; only four darker-tone participants; facial-only; substantial device/geometry disagreement.,external spatial-spectral and anatomical-site validation,novelty of facial hyperspectral mapping and anatomical-location variation,Test ISSA manifold/observability findings spatially and locally; treat point averages as sampling operators.
16,Estimating Skin Tone and Effects on Classification Performance in Dermatology Datasets,2019,image-derived ITA / dermatology,Image-derived ITA from non-lesional skin; darker appearance underrepresented; no measurable performance trend in studied setting.,ITA and segmentation are image-derived; dark-end sample is weak for strong null inference.,contradictory/null prior art,novelty of image-derived ITA auditing,Use instrument-grounded predictions and powered dark-end data; accept null clinical bridge.
17,Eigenspectra Optoacoustic Tomography,2015,basis modeling / tissue propagation,Low-dimensional eigenspectra compensate wavelength-dependent fluence in optoacoustic imaging; multi-level validation.,Different modality and physics; cannot validate passive visible-reflectance RGB recovery.,basis-conditioned nuisance modeling precedent,generic novelty of empirical spectral bases for tissue-light interaction,Visible-reflectance-specific basis analysis with direct metrology and camera operators.
18,Physically Plausible Spectral Reconstruction / NTIRE 2020 Spectral Reconstruction Challenge,2020,benchmark reconstruction / physical consistency,Large clean and real-world RGB-to-HSI benchmark; strong deep methods; reprojection and computational limitations.,"Natural scenes, synthetic clean RGB, unknown real-world processing; metrics can reward physically inconsistent spectra.",benchmark and reprojection-consistency baseline,generic multi-network RGB2HS benchmarking and generic physical-consistency testing,"Skin-specific physical consistency, evidence/prior accounting, external device/illuminant holdout."
