claim_id,claim,status,prior_art_basis,rationale,admissible_scope
C01,Universal RGB-to-spectrum recovery is possible from a single processed RGB image,PROHIBITED,"P02,P03,P13,P18",Non-identifiability and prior dependence are established.,"Any future model must output uncertainty, abstention, and evidence/prior attribution."
C02,Metamerism is a novel explanation for RGB skin error,PROHIBITED,"P02,P18",Metamerism and null-space limits are established.,"Novelty may lie in real-skin prevalence, severity, and tone-conditioned observability."
C03,Skin spectra are low-dimensional,PROHIBITED,"P03,P14,P15,P17",Low-dimensional spectral structure and basis methods are established.,Measure effective dimension and alignment with camera row spaces across strata.
C04,A new neural architecture is the core novelty,PROHIBITED,"P03,P13,P18",Architecture families and benchmarks are mature.,Architecture is admissible only after a registered physical gap is shown.
C05,Camera calibration solves arbitrary skin measurement,PROHIBITED,"P01,P08,P09,P10",Calibration improves consistency under conditions but cannot recover unmeasured spectral information.,Quantify calibration boundary and residual observability loss.
C06,ITA is a direct melanin measurement,PROHIBITED,"P01,P06,P08,P16",ITA is a colorimetric/appearance descriptor and may be image- or device-dependent.,"Use ITA as measured color descriptor; separate erythema, site, specular, and instrument effects."
C07,Polarization is novel for skin sensing,PROHIBITED,P11,Polarization biomedical imaging is established.,Compare incremental information gain and cost against alternative added measurements.
C08,Layered skin biophysical inversion is novel,PROHIBITED,P12,Forward and inverse skin models already exist.,"Novelty may lie in falsification, identifiability, model discrepancy, and evidence/prior accounting."
C09,CRB or wavelength optimization alone is novel,PROHIBITED,Prior-art report + existing tissue sensing literature,CRB and wavelength-design methods are established.,"Use CRB only as machinery for a new real-skin, camera-specific decomposition."
C10,Dermatology AI has a tone gap,PROHIBITED,"P05,P06",The empirical gap has already been studied.,Novelty may lie in physics/contrast/data-quality attribution and independent replication.
C11,Real-skin camera observability can be measured across realistic operator families,ACTIVE,"P02,P03,P10,P14,P15","No supplied work closes real-skin manifold-to-camera observability across tone, site, instrument, camera, and illuminant.","Principal angles, null energy, real collision enumeration, cross-dataset replication."
C12,Physically plausible real-skin metamers can be enumerated and severity quantified,ACTIVE,"P02,P03,P14,P15",Generic metamers are established; physiological prevalence/severity on measured skin remains open.,Direct collisions plus constrained metamer generation within measured/physical skin support.
C13,Measurement evidence can be separated from population-prior reconstruction,ACTIVE,"P02,P03,P13,P18",Existing reconstruction often conflates measurement with prior.,"Posterior decomposition, prior-only baseline, camera-evidence ablation, OOD/abstention."
C14,Tone-dependent uncertainty can be decomposed across interacting mechanisms,ACTIVE,"P01,P02,P08,P09,P10,P12","Individual mechanisms are known; fractional, interaction-aware attribution on real skin is not closed.","Projection, photon, camera, illuminant, tissue collinearity, specular, ISP, and data quality."
C15,Minimum additional measurement can be optimized under parity and cost constraints,ACTIVE,"P02,P03,P08,P09,P11,P12",Candidate modalities exist; comparative minimum sufficient measurement remains open.,"Pareto/minimax design across NIR, multi-flash, polarization, RAW, references, repeats."
C16,A physics-derived recoverability score explains clinical error after alternatives are controlled,ACTIVE-SEPARATE,"P04,P05,P06,P07,P16",Clinical disparity and alternative explanations exist; causal bridge remains unproven.,"DDI discovery, DDI-2 replication, CleanPatrick control, lesion-contrast horse race."
C17,Universal validated RGB-to-true-color corrector exists with current assets,NOT_TESTABLE,"P03,P08,P09,P14,P15",Current held assets lack paired consumer image and measured spectrum of the same patch.,"Requires new paired acquisition with RAW/JPEG, spectrum, colorimeter, references, repeats."
