review_order,task_id,task_sha256,canonical_identity,selected_terminal_role,decision_reason,evidence_basis,reviewer,reviewed_at,reviewer_attestation
1,DISPOSITION-TASK-c84160c4be5aec03,2947566a963b7b8795c3ce0a35c7266de3ec70c077b0e41a130a16ec5f0dfccb,doi:10.1016/j.jaad.2022.06.115,,,,,,
2,DISPOSITION-TASK-0fdb2019d281b81c,b0bd4f5416bdcda6dc8f9d284f34c11f1983198d1d902c2ca62fb5242e9c254f,doi:10.1016/j.visres.2022.108048,,,,,,
3,DISPOSITION-TASK-c6ae9161a87747ca,2982606895c91fbacbf12917700c4d4e28ce06405af8eab3c6fa8aee4db153a8,doi:10.1016/s0924-2031(01)00144-8,,,,,,
4,DISPOSITION-TASK-eec76c4dd7b0817f,700d320b42b44744d60fbbd4a01c0e2c2e3018f9783cbef50dd449afb0ba0f62,doi:10.1038/s41591-023-02540-z,,,,,,
5,DISPOSITION-TASK-bc75393e9f09c939,846a7bba569f4e9a045f6640ddf1441a66ed4c20e26dcf5b8b6933810e39c7e4,doi:10.1093/bjd/ljag151.052,,,,,,
6,DISPOSITION-TASK-b865cc8780095eb9,66d29703924cfc09fbb5f401f5a1dc7cd66ae6756b16f927bb36fae768911d48,doi:10.1093/ced/llaf145,,,,,,
7,DISPOSITION-TASK-9800795f20165472,3b1531ae9bef9d62a5e5622bfdf18f38be87206e55e04710a0baf140bd667c54,doi:10.1109/iccphot.2016.7492879,,,,,,
8,DISPOSITION-TASK-b6ab3fc03178082f,740f27af8187c6d057caf5b6ecae31420690eff5436dab2db35009a522b7142a,doi:10.1109/iccvw60793.2023.00122,,,,,,
9,DISPOSITION-TASK-e6236613e4733a0d,1da5818e56ce1feb51275429fa5c09adde451559c5bdff5eed7598526dbaee6b,doi:10.1109/tip.2017.2764264,,,,,,
10,DISPOSITION-TASK-3043caf9e757ba1d,4be0c14395b3992930bb8f8bf1855a0737fe64cf245a0f9abc6abd960ff42bc4,doi:10.1109/wacvw60836.2024.00067,,,,,,
11,DISPOSITION-TASK-a9aa478e6b533356,5174c483e4e60ed486cc76d2eadefc402ce7eee3bbfa910665136b425f930f63,doi:10.1111/ics.12147,,,,,,
12,DISPOSITION-TASK-65e3bb54b0d7adc4,b732f0ad6b42313f3f282a459eca95fcfce436fc55785d942dbd6fc018d1507f,doi:10.1111/ijd.70452,,,,,,
13,DISPOSITION-TASK-e7f3fc0263e72f79,1876b15295fa4662d4e7aeadde43150886495677311badd596ea83fb2dd83d0b,doi:10.1111/j.1600-0846.1997.tb00191.x,,,,,,
14,DISPOSITION-TASK-5916f5967be4db17,2744ae24ca7fc888f04a901e335a661deeeef9cc624dbd03f6678b9cb8662c4f,doi:10.1111/srt.12396,,,,,,
15,DISPOSITION-TASK-45015e13a1263d20,a43a8e9be26469f994c48a7c93c054ed2be7549698d101c2286808586849fd9c,doi:10.1111/srt.12421,,,,,,
16,DISPOSITION-TASK-0c20a1f05d8be4be,b54b53b04fcd8513730d3f0fd4148ed18ee04ba29b7bfc7d35ccfd4b8a097bbe,doi:10.1111/srt.13207,,,,,,
17,DISPOSITION-TASK-13fcfe1ce95a00f0,9e288669f5533ddef95f9ddd8bef83ee4400c651dd00f60fb32f8eab5b3b6c56,doi:10.1117/1.jbo.27.2.026004,,,,,,
18,DISPOSITION-TASK-4b1e6a689b9d4328,dd4b5099ebfaf5c9a57644b5ccd78a4d288b46108ee9bf538b144c8cd1df2932,doi:10.1117/1.jbo.28.10.107001,,,,,,
19,DISPOSITION-TASK-ead1102aae0c938a,a78c4ac4f242aec4d7d2e92c8453e2f3614093e0ae3bbc7bf401c94ba3b288f6,doi:10.1117/1.jbo.29.9.093507,,,,,,
20,DISPOSITION-TASK-1f4f0478ed0babcf,bac1f75b78090c7edac14c88f8c3a5ab8b093d46b464b1b65ecf978db8a076e0,doi:10.1117/12.3098404,,,,,,
21,DISPOSITION-TASK-eb4b597fdf8a1bc0,367d497c1518e92ab9e3a966a8b5f1b81364083367c28cd98c36ef8166d02612,doi:10.1364/boe.507361,,,,,,
22,DISPOSITION-TASK-37d387d2ae7cd099,18d6d34fa3249c6f491bce795bb07f32100ac11161dec9b318760200edd45e9b,doi:10.1364/boe.570414,,,,,,
23,DISPOSITION-TASK-11f30fb957882c10,0229ee66f60dd4bb70f9c96f6e6d2fd56ad23819807e91e7444b639ae113226b,doi:10.1364/josaa.23.001814,,,,,,
24,DISPOSITION-TASK-caacedd3bf88372c,a879848c86c306c27d9813a7b418834403adc7567d7c88b7eb36d21ed1ccffea,doi:10.1371/journal.pone.0280670,,,,,,
25,DISPOSITION-TASK-279512c38e323944,6ef268745bada7a0fadd3942f1c1b446b20b124e3d292e8730cf7a2a89dae13d,doi:10.19184/cerimre.v5i2.31668,,,,,,
26,DISPOSITION-TASK-216e636378952ff3,d14df673ef7c3d894ffc136b8f34b07d97a16ab935b8f2158f13d8f0f39d6197,doi:10.3390/jimaging12050203,,,,,,
27,DISPOSITION-TASK-c78ba86b99b9b24a,f4a7f0475298e3cda95ca9652d6498a5b2d5f3985a8b3152ea2498b589b75c6d,doi:10.3390/jimaging9020047,,,,,,
28,DISPOSITION-TASK-f080b5839173d8c5,189c3355c970b2875d9472c1ba23fc301a3af8d5152baa1205da82bcbb58b45d,doi:10.3390/s130607902,,,,,,
29,DISPOSITION-TASK-caa3807463814a9c,02688bd350b4433b5c0fb0565eed6ce8b161f735d290813d00f9354cd62928e2,doi:10.3390/s22134923,,,,,,
30,DISPOSITION-TASK-f3072983e3180c15,f488f5a32b492ad5f1ba28968576472e331120acc4587c533cc6327fa03c6772,doi:10.3390/s23083888,,,,,,
31,DISPOSITION-TASK-5c8179033fa93f1f,8b4a8d50bbfac2a58b8a547a06461bf033867b1a2596a63892984ef2fe9f6ffd,doi:10.5753/sibgrapi.est.2024.31648,,,,,,
32,DISPOSITION-TASK-cea3a0861fd3571a,4328673be4d13b6a704cd265c990a91c23e24416278545c0d001498df49f0f5b,doi:10.7759/cureus.94909,,,,,,
